id,博主名称,标题,正文内容,发布时间,点赞,收藏,评论,作者类型,叙述视角,内容主类型,是否涉及就医流程,是否涉及药物治疗,是否涉及共病/鉴别诊断,学习受影响,工作受影响,人际关系受影响,生活管理受影响,情绪管理受影响,是否直接引导自我判断,是否存在强共鸣式表达,是否提醒不要互联网诊断,是否建议寻求专业评估/医院就诊,是否提到早发性,是否提到跨情境性,是否提到持续性,是否提到功能损害,是否将普遍体验直接等同于ADHD,是否存在人格化/标签化/天赋化表达,是否存在商业导向,点赞数值,收藏数值,评论数值,作者类型标签,叙述视角标签,内容主类型标签,边界提醒
1,少年的声音Voice of Youth,ADHD科普指南❗️｜知道本身就是一种解脱,"很多时候我们总会怪罪自己，不知道为什么自己无法做到那些看似“理所应当”的事情。
	
注意力仿佛像风筝一下，明明想抓牢，却总被风吹到别的方向。
	
ADHDer们的生活中常常会遇到额外的挑战，在启动任务，执行任务与停止任务的过程中也常常会遇到困难。
	
直到成年，很多人才在一次次挫败与自我怀疑中发现：原来这不是“我不够好”的问题，而是我的大脑本来就与众不同。
	
当然希望大家不要互联网诊断，积极地寻求帮助。
💡 ADHD不是懒惰，也不是不努力。 💡 早期识别和获得支持，可以极大地改善学习、工作和生活。 💡 了解自己，就是一种改变。
	
这就是为什么我们想做这次科普。
我们想说：知道了，就已经是出发了。
	
#青少年心理 #adhd #adhd科普 #adhd症状 #女性adhd #成人adhd #青少年心理健康 #多动症 #注意力缺陷 #心理学",2025-04-27,587,162,14,2,2,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,587.0,162.0,14.0,心理咨询/心理科普账号,面向读者的科普/建议,科普纠偏类,1
2,菜醒,成人adhd华西就诊流程,"【基本流程】
线上问诊→医生开检查单→缴费预约检查→挂线下号→面诊→办理麻卡→拿药
	
【详细流程】
第一步：线上初诊与准备
1. 整理发育史：整理好从童年至今的成长、学习和行为表现发育史。
2. 挂线上问诊：检查adhd的医生见p2。
3. 提交信息：问诊时，将以文字形式整理好的发育史发给医生。
	
第二步：预约并完成检查
1. 开具检查：医生会根据情况，为你开具一系列ADHD评估检查项目，除此之外还有你个人及父母的线上调查问卷（详情见p3）。
2. 缴费预约：缴费后，即可预约检查时间，心电图在第一门诊，其他均在第二门诊。
⚠️请注意：部分检查可能排期较久，有的会长达一个半月。
	
第三步：线下复诊与确诊
1. 挂线下号：建议在完成所有检查之后，再预约线下门诊号，这样是最稳妥的做法。
2. 面诊确诊：带上所有检查报告面诊。医生会做出诊断。如果确诊并有用药需求，医生会提供病历单。
	
第四步：办理麻卡（如需用药）
1. 开具麻卡：持医生开具的病历单，到门诊大厅的“总服务台”办理。
2. 准备材料：办理时需出示本人《身份证原件》及《复印件》。
注：如果没提前复印，从大门出去左转，有一个棚子小卖部可以提供打印复印服务。
	
【相关问题】
1. 检查排期太久怎么办？
我从线上问诊到面诊完成实际只用了一周。推荐尽早到医院，检查时可询问医生是否有别人退号可补。我本人在开检查后，连续几天早上准点登录系统尝试改约，幸运改到了更早时间。
2. 检查大概费用是多少？
· 线上问诊：30元
· 检查费：495元
· 面诊费：22元
· 药品（30粒×18mg）：570元
合计：1117元
注：我个人未使用医保，不确定是否可用，欢迎了解的朋友补充说明。
3.害怕父母不配合怎么办?
这个问题我特意问过医生，医生说我们鼓励填写问卷，因为它是一个第三视角，能提供很有效的信息。但是成人这方面父母参与度比较低也是客观的，实在没有就只能没有了。我本人因个人原因无法让父母配合，但是也顺利确诊了。所以如果有类似疑虑的朋友不要太担心，做好你能做的即可。
4. 确诊后是否影响工作？
目前了解，可能会对部分商业保险投保/理赔有影响，对普通工作就业影响不大。如有其他了解，也欢迎在评论区补充。
5.吃了专注达就能变聪明吗？
并不能。这是一个常见误区。专注达主要用于缓解症状，且不一定对每个人都有效。成人ADHD无法根治，如果对生活影响较小，通常不建议服用，因为它可能会带来一系列副作用。
#成人adhd #adhd #华西",2025-09-12,189,158,71,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,189.0,158.0,71.0,患者/确诊者本人,混合型,确诊/就医流程类,1
3,Vivi的ADHD邪修日记🔮,成人女生ADHD症状总结：白日梦想家,"小时候只会做白日梦，但不多动，所以女生确诊时间总是很晚，平均30多岁才确诊，而男生十几岁就确诊
	
#女性ADHD #adhd#成人adhd #成人adhd日记 #成人女生adhd #adhd女生
	
👾ADHD科普的意义在于，“知道ADHD存在本身就是一种巨大的解脱”，你会知道分心不是你的错，你会知道过去的你真的辛苦了。
	
接下来我们可以理解自己、托举自己，一起来构建属于ADHD们的使用说明书，把我们的特点的天赋最大化！
	
🔽ADHD使用说明书阶段性进展（见合集）",2025-12-15,10万+,5.2万,8826,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,100000.0,52000.0,8826.0,疑似患者/自述困扰者,混合型,症状共鸣/自我识别类,0
4,祥子老师,不，你并没有 ADHD,"网络时代的自我诊断泛滥把普通现象包装成 ADHD 症状，导致许多人误以为自己“突然有了 ADHD”。
ADHD 并不会在成年后突然出现 科学共识：ADHD 属于神经发育性障碍，从儿童期就会出现，而非 20、30 岁后“突然发病”。
真正的 ADHD 具备一贯性与跨情境性 必须在多个场景（学业、工作、人际）长期存在影响，而不是只在压力大或疲劳时表现。
许多看似 ADHD 的表现其实有其他原因：
1. 睡眠不足
2. 焦虑
3. 情绪困扰
4. 现代信息过载
5. 社交媒体造成注意力断裂
6. 工作压力
7. 懒散或拖延被过度医疗化
	
误诊带来的风险：
1. 忽略真正的问题（情绪、生活方式、自我管理）
2. 依赖药物
3. 将所有困难归咎 ADHD，而不面对根源
	
如何真正判断自己是否需要评估：
1. 反思是否从小就存在症状
2. 观察是否跨场景持续影响生活
3. 是否在无压力、休息好的状态下仍持续困难
4. 寻求专业评估，而不是依赖网络资讯
	
你遇到的困难可能是真实的，但并不等同于 ADHD。面对问题不需要贴错标签，而需要正确理解与处理。
	
#多动症  #ADHD #ADHD儿童",2025-11-14,5479,2039,861,2,2,2,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,5479.0,2039.0,861.0,心理咨询/心理科普账号,面向读者的科普/建议,科普纠偏类,1
5,李安童,警惕❗️ADHD常见的10种共患病,ADHD患者们通常也会被诊断出并发的其他疾病和症状，症状可能同时发生也可彼此独立，单纯的ADHD患者大概有20-30%，大部分的A都深受共患病的困扰～干预可以解决一部分症状，还要观察共患病对患者的影响，可以通过运动，行为治疗等等途径寻找解决缓解方法～#ADHD #注意力分散 #A娃 #焦虑症躯体化 #抑郁症 #学习障碍,2024-12-14,1187,933,88,2,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.0,933.0,88.0,心理咨询/心理科普账号,面向读者的科普/建议,共病/鉴别诊断类,0
6,离离离离离离离子,INFJ以为是自己的天赋实际上是ADHD,"“诶我不是天才来的吗”
怎么就确诊ADHD了
啊啊啊啊啊画不完根本画不完，那摸一会鱼吧
	
#INFJ #infj #MBTI #mbti #adhd #ADHD #infj观察日记",7天前 广东,1230,142,35,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1230.0,142.0,35.0,患者/确诊者本人,第一人称亲历,身份认同/人格化/天赋化表达类,0
7,懂孩子的赵老师,成人ADHD症状总结:情绪过山车/白日梦想家,"女生ADHD表现更内隐，所以一般女性确诊时间平均为30岁，而男性ADHD在童年、青少年时期因攻击性和外化行为更容易被确诊。
#ADHD #ADHD症状 #女性ADHD #ADHD男女差异",2025-08-15,2597,1342,128,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2597.0,1342.0,128.0,心理咨询/心理科普账号,面向读者的科普/建议,症状共鸣/自我识别类,0
8,无敌小菠萝,Adhd是怎么把自己逼上浙大的,"本人初高中期就表现出来一系列adhd的症状，
例如：
1.听别人说话听着听着开始神游状况外
2.无法投入在一件事上（甚至是娱乐），没有耐心
3.拖延拖到最后一刻
4.想做的事必须立刻马上去做，谁都不许干预
5.思维极度跳跃，想象力丰富，爱编剧本
	
高中那会儿还没有adhd这么好听的词汇，只知道123症状的自己是注意力不集中和拖延症太严重了，作业总是拖到最后一刻且做阅读理解读不到一半就开始莫名烦躁，本来按照这样下去我将会成为一名合格的混子，但是意外地我又发现我居然具有45的特质，于是我开始利用45。
	
比如我会幻想我考上xx大学会是什么样的生活，如果想美了且有可行性我就会把这个强制定位我的目标，在我这个目标以外的事情怎么拖延都可以，但是目标之内的事情要强迫自己雷打不动完成。
	
因为注意力非常非常难集中，做题的时候不是扣扣手就是扣扣头发，要么就是玩别的，反正总有能找到的好玩的东西，我开始想办法。一开始我发现在家里的小书房里效果会好一点点，但是封闭的空间只能在家里实现，后来在学校里我会穿戴帽子的衣服把帽子扣上来“隔绝”外界，可能心理上有了一种“隔离”的感觉，确实能专心一些。
	
再比如我的剧本偶尔会假设自己是一个成绩非常好的人，一张试卷发下来我就开始演戏，虽然正确率不能保证但是卷面工整清晰非常容易，这样偶尔一道难题被我不小心做对的时候非常有爽感，就好像我剧本里的事情成真了，演着演着就会发现自己真的能成这样的人。
	
再后来上了大学拖延症和注意力不集中更加一发不可收拾，去图书馆自习的时候，锁屏/种树软件对我来说都还有的玩，我只能强制把手机关机或者不带手机来强制自己专注。
	
但是adhd里对学习非常有用的一种特质就是思维极度活跃，因为思维活跃所以做题总是有新的思路和解发，并且思维活跃非常容易想到做过的题目，因为能捕捉到一些抽象的共通点，所以很容易将类似的题型进行对比或归纳总结，大大提高了我的学习效率。
	
总结下来提升专注力对我来说就是靠“演戏”和“隔离”，也是这样我一步步把自己逼成了强自律型人格。
	
#adhd #提升专注力 #自我驱动力 #拖延人的不拖延 #adhd自救 #专注力",02-04,2999,1285,90,4,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,2999.0,1285.0,90.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
9,ADHD庇护所,童年“怪癖”大复盘，原来不是因为我事儿多！,"最近和👩‍⚕️复盘了一下自己的童年，发现很多“奇怪”的点都有了答案😮‍💨
分享出来看看有没有同款小伙伴！
但这不构成诊断，只是个人经历的总结哦！
🌟感官篇：我的身体好像格外挑剔
1️⃣穿不了高领毛衣/紧脖子的衣服。感觉像被人扼住了命运的喉咙，分分钟窒息，情绪瞬间暴躁。秋衣的领子也必须折下去，绝对不能碰到脖子。
2️⃣洗澡时，非常非常害怕脸沾到水
淋浴冲脸像上刑，感觉无法呼吸，心跳狂飙。别的小朋友玩水很开心，我洗澡像打仗。
3️⃣对某些声音极度敏感
听到别人嚼东西、吧唧嘴的声音，或者指甲刮黑板的声音，会瞬间烦躁到想逃离，甚至想发脾气。
4️⃣讨厌特定材质的衣服
至今我也不喜欢真丝，摸上去会让我觉得浑身不舒服。
	
🌟行为篇：我的小马达好像停不下来
1️⃣永远在丢东西
“橡皮呢？”“铅笔呢？”“红领巾呢？”是我每天的灵魂拷问。人走到学校，文具盒里的东西能少一半。钥匙就更别提了，经常流浪在邻居家…
2️⃣上课神游，但脑子里有部连续剧
老师讲课时，我可能在观察窗外的云变成了小狗，或者在心里自编自演一场武侠大戏。被点名时一脸懵，完全不知道问题是什么。
3️⃣话痨，忍不住插嘴
脑子里想到什么就必须立刻说出来，不然会忘记。经常打断别人说话，不是不礼貌，是真的很怕那个想法“飞走了”。
4️⃣做事虎头蛇尾
兴致勃勃地开了个头（比如练字、学乐器），但热情很快消退，留下一堆“未竟的事业”。
	
🌟情绪篇：我的内心是座活火山
1️⃣“一点就炸”
情绪开关好像坏掉了，非常容易因为小事瞬间崩溃，被家人说“脾气大”“娇气”。
2️⃣很难承受挫折
玩游戏输了、事情做不好，会立刻情绪失控，大哭大闹，很难接受失败。
	
👩‍⚕️总结：
这些表现，核心大多源于ADHD带来的感官处理差异、执行功能困难和情绪调节挑战。
ADHDer不是“作”，也不是“笨”，只是我们的大脑操作系统有点特别。
	
这些表现里，你中了几条？或者你有什么特别的经历吗？评论区等你聊聊！ 💬
如果你也对ADHD话题感兴趣，或者想了解成年后如何与它共处，欢迎关注@ADHD庇护所
之后会分享更多关于诊断、情绪管理和生活小技巧的干货！
注：个体差异很大，并非所有ADHDer都一样！不要凭借文章自行诊断！
#adhd #心理 #情绪管理 #高度敏感者 #童年",2025-11-20,4105,1338,1272,4,3,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,4105.0,1338.0,1272.0,疑似患者/自述困扰者,混合型,症状共鸣/自我识别类,1
10,pihril,一个分辨自己 是不是 adhd 的简单方式  看,#adhd  #adhd自救 #adhd科普,01-01,1386,454,286,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1386.0,454.0,286.0,无法判断,面向读者的科普/建议,症状共鸣/自我识别类,0
